model,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.9522115023180052,0.7131086142322097,0.38449111470113084,0.4996064025190239,0.9449194891385309
Random Forest,0.9527377521613832,0.7272727272727273,0.38126009693053314,0.5002649708532061,0.9420499851285478
